14
4
Outlook,Temp,Humidity,Windy
OVERCAST,COLD,NORMAL,TRUE,Yes
OVERCAST,MEDIUM,HIGH,TRUE,Yes
OVERCAST,HOT,NORMAL,FALSE,Yes
OVERCAST,HOT,HIGH,FALSE,Yes
SUNNY,COLD,NORMAL,FALSE,Yes
SUNNY,COLD,NORMAL,TRUE,No
SUNNY,MEDIUM,NORMAL,FALSE,No
SUNNY,MEDIUM,NORMAL,TRUE,Yes
SUNNY,MEDIUM,HIGH,FALSE,Yes
SUNNY,MEDIUM,HIGH,TRUE,No
RAINY,MEDIUM,NORMAL,TRUE,Yes
RAINY,COLD,LOW,TRUE,Yes
RAINY,COLD,LOW,FALSE,NO
RAINY,COLD,NORMAL,FALSE,Yes
RAINY,COLD,NORMAL,TRUE,No
RAINY,COLD,HIGH,TRUE,Yes
RAINY, COLD,HIGH,FALSE,No
RAINY,MEDIUM,HIGH,TRUE,NO
RAINY,MEDIUM,HIGH,FALSE,No
RAINY,HOT,HIGH,FALSE,Yes
RAINY,HOT,HIGH,TRUE,No
