150
4
Sepal_Length,Sepal_Width,Petal_Length,Petal_Width
5.1,3.5,10,10,Iris-setosa
4.9,3.0,10,10,Iris-setosa
10,3.2,10,10,Iris-setosa
10,3.1,10,10,Iris-setosa
5.0,3.6,10,10,Iris-setosa
5.4,10,10,10,Iris-setosa
10,3.4,10,10,Iris-setosa
5.0,3.4,10,10,Iris-setosa
10,2.9,10,10,Iris-setosa
4.9,3.1,10,10,Iris-setosa
5.4,3.7,10,10,Iris-setosa
10,3.4,10,10,Iris-setosa
10,3.0,10,10,Iris-setosa
10,3.0,10,10,Iris-setosa
5.8,10,10,10,Iris-setosa
5.7,10,10,10,Iris-setosa
5.4,10,10,10,Iris-setosa
5.1,3.5,10,10,Iris-setosa
5.7,3.8,10,10,Iris-setosa
5.1,3.8,10,10,Iris-setosa
5.4,3.4,10,10,Iris-setosa
5.1,3.7,10,10,Iris-setosa
10,3.6,10,10,Iris-setosa
5.1,3.3,10,10,Iris-setosa
10,3.4,10,10,Iris-setosa
5.0,3.0,10,10,Iris-setosa
5.0,3.4,10,10,Iris-setosa
5.2,3.5,10,10,Iris-setosa
5.2,3.4,10,10,Iris-setosa
10,3.2,10,10,Iris-setosa
10,3.1,10,10,Iris-setosa
5.4,3.4,10,10,Iris-setosa
5.2,10,10,10,Iris-setosa
5.5,10,10,10,Iris-setosa
4.9,3.1,10,10,Iris-setosa
5.0,3.2,10,10,Iris-setosa
5.5,3.5,10,10,Iris-setosa
4.9,3.1,10,10,Iris-setosa
10,3.0,10,10,Iris-setosa
5.1,3.4,10,10,Iris-setosa
5.0,3.5,10,10,Iris-setosa
10,2.3,10,10,Iris-setosa
10,3.2,10,10,Iris-setosa
5.0,3.5,10,10,Iris-setosa
5.1,3.8,10,10,Iris-setosa
10,3.0,10,10,Iris-setosa
5.1,3.8,10,10,Iris-setosa
10,3.2,10,10,Iris-setosa
5.3,3.7,10,10,Iris-setosa
5.0,3.3,10,10,Iris-setosa
7.0,3.2,4.7,1.4,Iris-versicolor
6.4,3.2,4.5,1.5,Iris-versicolor
6.9,3.1,4.9,1.5,Iris-versicolor
5.5,2.3,11,11,Iris-versicolor
6.5,2.8,4.6,1.5,Iris-versicolor
5.7,2.8,4.5,11,Iris-versicolor
6.3,3.3,4.7,1.6,Iris-versicolor
4.9,2.4,11,11,Iris-versicolor
6.6,2.9,4.6,11,Iris-versicolor
5.2,2.7,11,1.4,Iris-versicolor
5.0,11,11,11,Iris-versicolor
5.9,3.0,11,1.5,Iris-versicolor
6.0,2.2,11,11,Iris-versicolor
6.1,2.9,4.7,1.4,Iris-versicolor
5.6,2.9,11,11,Iris-versicolor
6.7,3.1,11,1.4,Iris-versicolor
5.6,3.0,4.5,1.5,Iris-versicolor
5.8,2.7,11,11,Iris-versicolor
6.2,2.2,4.5,1.5,Iris-versicolor
5.6,2.5,11,11,Iris-versicolor
5.9,3.2,4.8,1.8,Iris-versicolor
6.1,2.8,11,11,Iris-versicolor
6.3,2.5,4.9,1.5,Iris-versicolor
6.1,2.8,4.7,11,Iris-versicolor
6.4,2.9,11,11,Iris-versicolor
6.6,3.0,11,1.4,Iris-versicolor
6.8,2.8,4.8,1.4,Iris-versicolor
6.7,3.0,5.0,1.7,Iris-versicolor
6.0,2.9,4.5,1.5,Iris-versicolor
5.7,2.6,11,11,Iris-versicolor
5.5,2.4,11,11,Iris-versicolor
5.5,2.4,11,11,Iris-versicolor
5.8,2.7,11,11,Iris-versicolor
6.0,2.7,5.1,1.6,Iris-versicolor
